id,lat,long,name,number
109,38.8923,-77.0436,19th St & Constitution Ave NW,31235
110,38.90774,-77.071652,37th & O St NW / Georgetown University,31236
111,38.899983,-76.991383,11th & H St NE,31614
112,38.903827,-77.053485,25th St & Pennsylvania Ave NW,31237
113,38.89696,-77.00493,Columbus Circle / Union Station,31623
114,38.897446,-77.009888,North Capitol St & F St NW,31624
115,38.905607,-77.027137,11th & M St NW,31266
116,38.922581,-77.070334,36th & Calvert St NW / Glover Park,31304
117,38.898069,-77.031823,14th & G St NW,31238
118,38.844015,-77.050537,Potomac Ave & 35th St S,31052
124,38.88412,-77.04657,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240
125,38.897857,-77.026975,11th & F St NW,31262
126,38.896104,-77.049882,23rd & E St NW ,31260
127,38.897315,-77.070993,Lynn & 19th St North,31014
128,38.8946,-77.072305,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015
129,38.893648,-77.076701,Clarendon Blvd & Pierce St,31016
130,38.891696,-77.0846,Wilson Blvd & N Uhle St,31017
131,38.892164,-77.079375,N Rhodes & 16th St N,31018
132,38.86559,-76.952103,Fairfax Village,31706
133,38.892459,-77.046567,21st St & Constitution Ave NW,31261
134,38.889,-77.0925,Wilson Blvd & N Edgewood St,31019
135,38.920669,-77.04368,Columbia Rd & Belmont St NW,31113
136,38.906602,-77.038785,17th & Rhode Island Ave NW,31239
137,38.9059,-77.0325,Thomas Circle,31241
138,38.8904,-77.0889,Wilson Blvd & Franklin Rd,31020
139,38.8881,-77.09308,Clarendon Blvd & N Fillmore St,31021
140,38.88786,-77.094875,Clarendon Metro / Wilson Blvd & N Highland St,31022
141,38.89968,-77.041539,18th St & Pennsylvania Ave NW,31242
142,38.887299,-77.018939,Maryland & Independence Ave SW,31243
143,38.88412,-77.017445,4th & E St SW,31244
144,38.881185,-77.001828,3rd & G St SE,31625
145,38.912719,-77.022155,7th & R St NW / Shaw Library,31245
146,38.9418,-77.0251,9th & Upshur St NW,31404
147,38.915417,-77.012289,1st & Rhode Island Ave NW,31506
148,38.928156,-77.02344,Columbia Rd & Georgia Ave NW,31115
149,38.917761,-77.04062,California St & Florida Ave NW,31116
150,38.889935,-76.93723,Benning Rd & East Capitol St NE / Benning Rd Metro,31707
151,38.930282,-77.055599,3000 Connecticut Ave NW / National Zoo,31307
152,38.896544,-76.96012,Anacostia Ave & Benning Rd NE / River Terrace ,31708
153,38.905126,-77.056887,M St & Pennsylvania Ave NW,31246
154,38.88732,-76.983569,15th St & Massachusetts Ave SE,31626
155,38.844711,-76.987823,Congress Heights Metro,31806
156,38.876393,-77.107735,N Quincy St & Glebe Rd,31035
157,38.8815,-77.10396,Wilson Blvd & N Oakland St,31033
158,38.896923,-77.086502,N Veitch  & 20th St N,31029
159,38.90268,-77.02674,11th & K St NW,31263
160,38.885801,-77.097745,Fairfax Dr & Wilson Blvd,31023
161,38.896015,-77.078107,Key Blvd & N Quinn St,31027
162,38.87861,-77.006004,1st & K St SE,31628
163,38.922649,-77.077271,39th & Calvert St NW / Stoddert,31306
164,38.928743,-77.012457,1st & Washington Hospital Center NW,31507
165,38.882788,-77.103148,Virginia Square Metro / N Monroe St & 9th St N,31024
166,38.88397,-77.10783,Central Library / N Quincy St & 10th St N,31025
167,38.884734,-77.093485,Washington Blvd & 10th St N,31026
168,38.888553,-77.032429,Jefferson Dr & 14th St SW,31247
169,38.888767,-77.02858,Smithsonian / Jefferson Dr & 12th St SW,31248
170,38.87887,-77.1207,George Mason Dr & Wilson Blvd,31036
171,38.894573,-77.01994,6th St & Indiana Ave NW,31264
172,38.893241,-77.086045,N Veitch & Key Blvd,31028
173,38.89593,-77.089006,N Adams St & Lee Hwy,31030
174,38.89054,-77.08095,15th & N Scott St,31031
175,38.880834,-77.091129,Washington Blvd & 7th St N,31032
176,38.881044,-77.111768,Ballston Metro / N Stuart & 9th St N,31037
177,38.882629,-77.109366,N Randolph St & Fairfax Dr,31034
178,38.879819,-77.037413,Jefferson Memorial,31249
179,38.866611,-76.985238,Good Hope Rd & 14th St SE,31803
180,38.883921,-77.116817,Glebe Rd & 11th St N,31038
181,38.880151,-77.107673,N Quincy St & Wilson Blvd,31039
